Event,key,Ontology
PaymentDebit,actor_ip,IP
Withdrawal,actor_ip,IP
PaymentAttempt,visitor_id,VID
PaymentDebit,visitor_id,VID
Withdrawal,visitor_id,VID
PaymentAttempt,account_number,PayPalAccount
PaymentDebit,account_number,PayPalAccount
PaymentAttempt,counterparty,PayPalAccount
PaymentDebit,counterparty,Email
Withdrawal,account_number,PayPalAccount
PaymentAttempt,actor_ip,IP
UnilateralPaymentCompeletion,account_number,PayPalAccount
UnilateralPaymentCompeletion,actor_ip,
UnilateralPaymentCompeletion,visitor_id,
BankCompletion,account_number,PayPalAccount
BankCompletion,wuser_ach_id,
DisputeNotification,counterparty,PayPalAccount
DisputeNotification,account_number,PayPalAccount
YodleeBankAccountTransactionData,account_number,PayPalAccount
UnilateralPaymentCompeletion,counterparty,PayPalAccount
CreditCardCreated,account_number,PayPalAccount
CreditCardCreated,visitor_id,VID
CreditCardCreated,actor_ip,IP
UserEmailChanged,account_number,PayPalAccount
UserEmailChanged,actor_ip,IP
UserEmailChanged,visitor_id,VID
DecisionAttempt,account_number,PayPalAccount
DecisionResult,account_number,PayPalAccount
UserAccountChanged,account_number,PayPalAccount
AddressChanged,account_number,PayPalAccount
BankAccountAdded,account_number,PayPalAccount
BankAccountAdded,actor_ip,IP
BankAccountAdded,visitor_id,VID
BankAccountAdded,bank_account_number_encrypted,BankAccountNumberPayPalEncrypt
BankAccountChanged,account_number,PayPalAccount
BankCompletion,accountnumber,PayPalAccount
CCAuthResult,account_number,PayPalAccount
CreditCardChanged,account_number,PayPalAccount
CreditCardChanged,actor_ip,IP
CreditCardChanged,cc_number_hash,
DepositComplete,actor_ip,IP
DepositComplete,visitor_id,VID
FIWalletInstrumentAdded,account_number,PayPalAccount
LimitationAdded,account_number,PayPalAccount
LimitationLifted,account_number,PayPalAccount
LimitationUpdated,account_number,PayPalAccount
LimitationEscalated,account_number,
LoginChanged,account_number,PayPalAccount
LoginFailed,account_number,PayPalAccount
LoginFailed,actor_ip,IP
LoginFailed,visitor_id,VID
LoginSucceeded,account_number,PayPalAccount
LoginSucceeded,actor_ip,IP
LoginSucceeded,visitor_id,VID
NewAccountCreated,account_number,PayPalAccount
NewAccountCreated,actor_ip,IP
NewAccountCreated,visitor_id,VID
NewAccountCreated,phone_number,Phone
PaymentCredit,receiver,PayPalAccount
PaymentDebit,counterparty_alias,Email
UserEmailChanged,email_raw,Email
UserPhoneChanged,account_number,PayPalAccount
UserPhoneChanged,actor_ip,IP
UserPhoneChanged,phone_number,Phone
UserPhoneChanged,visitor_id,VID
CreditCardCreated,cc_number_hash,CCNumberPayPalHash
PaymentDebit,auction_username,eBayAccount
Withdrawal,http_tags,BeaconEtag
Withdrawal,Cookie,BeaconCookie
UserPhoneChanged,country_and_phone,Phone
PaymentDebit,sender_receiver,PayPalAccount_PayPalAccount
PaymentDebit,auction_leafid,
PaymentDebit,counterparty_leafid,
PaymentDebit,cc_number_hash,CCNumberPayPalHash
PaymentDebit,normalized_shipping_address1,AddressNumerics
PaymentDebit,normalized_shipping_address2,IDINormalizedAddress
PaymentDebit,ASN,ASN
PaymentDebit,CIDR,CIDR
PaymentAttempt,sender_receiver,PayPalAccount_PayPalAccount
NewAccountCreated,email_raw,Email
DisputeLifecycle,receiver_account_number,PayPalAccount
DisputeLifecycle,account_number,PayPalAccount
AddressChanged,normalized_firstname_lastname,FirstnameLastname
AddressChanged,processed_firstname_lastname,FirstnameLastname
BankAccountAdded,beacon_cookie,BeaconCookie
BankAccountAdded,beacon_etag,BeaconEtag
BankAccountAdded,normalized_firstname_lastname,FirstnameLastname
BankAccountAdded,processed_firstname_lastname,FirstnameLastname
CCAuthResult,last_login_actor_ip,IP
